time_ms,value
1909,181
2009,181
2109,180
2209,181
2309,180
2409,180
2509,181
2609,180
2709,181
2809,181
2909,181
3009,181
3109,181
3209,181
3309,181
3409,181
3509,180
3609,181
3709,181
3809,181
3909,181
4009,181
4109,181
4209,181
4309,181
4409,181
4509,181
4609,181
4709,181
4809,181
4909,180
5009,181
5109,181
5209,180
5309,181
5409,181
5509,181
5609,180
5709,181
5809,181
5909,181
6009,181
6109,181
6209,181
6309,181
6409,181
6509,181
6609,181
6709,181
6809,181
6909,181
7009,181
7109,180
7209,181
7309,181
7409,180
7509,181
7609,180
7709,180
7809,181
7909,182
8009,181
8109,180
8209,181
8309,181
8409,181
8509,180
8609,181
8709,180
8809,181
8909,180
9009,181
9109,180
9209,181
9309,181
9409,181
9509,181
9609,181
9709,181
9809,180
9909,180
10009,181
10109,180
10209,181
10309,181
10409,181
10509,180
10609,181
10709,181
10809,181
10909,180
11009,180
11109,182
11209,181
11309,181
11409,181
11509,180
11609,181
11709,181
11809,181
11909,181
12009,181
12109,181
12209,180
12309,180
12409,180
12509,181
12609,181
12709,180
12809,180
12909,180
13009,181
13109,182
13209,181
13309,181
13409,180
13509,181
13609,180
13709,181
13809,181
13909,181
14009,181
14109,181
14209,182
14309,181
14409,181
14509,181
14609,181
14709,181
14809,181
14909,181
15009,181
15109,180
15209,181
15309,181
15409,180
15509,180
15609,181
15709,181
15809,180
15909,181
16009,181
16109,182
16209,180
16309,181
16409,181
16509,180
16609,181
16709,180
16809,181
16909,181
17009,181
17109,181
17209,181
17309,181
17409,180
17509,180
17609,180
17709,181
17809,181
17909,181
18009,181
18109,181
18209,181
18309,181
18409,180
18509,180
18609,180
18709,180
18809,181
18909,180
19009,180
19109,181
19209,181
19309,180
19409,181
19509,181
19609,180
19709,181
19809,181
19909,181
20009,181
20109,180
20209,181
20309,180
20409,181
20509,180
20609,182
20709,181
20809,181
20909,180
21009,180
21109,181
21209,181
21309,180
21409,181
21509,180
21609,181
21709,181
21809,180
21909,181
22009,181
22109,181
22209,181
22309,181
22409,181
22509,180
22609,181
22709,181
22809,181
22909,181
23009,181
23109,180
23209,180
23309,181
23409,181
23509,180
23609,180
23709,181
23809,181
23909,181
24009,181
24109,181
24209,180
24309,181
24409,180
24509,180
24609,181
24709,181
24809,181
24909,181
25009,180
25109,181
25209,180
25309,180
25409,181
25509,185
25609,195
25709,203
25809,212
25909,222
26009,230
26109,238
26209,246
26309,253
26409,262
26509,271
26609,278
26709,286
26809,294
26909,303
27009,311
27109,319
27209,328
27309,336
27409,343
27509,351
27609,360
27709,368
27809,376
27909,384
28009,392
28109,400
28209,408
28309,416
28409,423
28509,432
28609,441
28709,448
28809,457
28909,466
29009,473
29109,481
29209,489
29309,497
29409,506
29509,514
29609,522
29709,529
29809,538
29909,546
30009,553
30109,561
30209,569
30309,577
30409,585
30509,592
30609,600
30709,607
30809,616
30909,622
31009,630
31109,637
31209,644
31309,652
31409,660
31509,667
31609,673
31709,680
31809,687
31909,694
32009,701
32109,708
32209,715
32309,722
32409,728
32509,734
32609,741
32709,748
32809,754
32909,761
33009,766
33109,774
33209,778
33309,784
33409,790
33509,797
33609,802
33709,809
33809,813
33909,819
34009,824
34109,830
34209,836
34309,841
34409,846
34509,852
34609,857
34709,862
34809,867
34909,872
35009,876
35109,881
35209,886
35309,890
35409,895
35509,899
35609,903
35709,907
35809,911
35909,916
36009,919
36109,923
36209,927
36309,931
36409,935
36509,939
36609,942
36709,945
36809,948
36909,950
37009,953
37109,956
37209,960
37309,963
37409,966
37509,969
37609,972
37709,974
37809,977
37909,978
38009,981
38109,984
38209,986
38309,988
38409,990
38509,990
38609,993
38709,995
38809,996
38909,998
39009,1000
39109,1001
39209,1002
39309,1005
39409,1006
39509,1007
39609,1009
39709,1010
39809,1011
39909,1011
40009,1013
40109,1014
40209,1015
40309,1016
40409,1017
40509,1017
40609,1018
40709,1019
40809,1019
40909,1021
41009,1021
41109,1021
41209,1022
41309,1022
41409,1023
41509,1023
41609,1023
41709,1023
41809,1023
41909,1023
42009,1023
42109,1023
42209,1023
42309,1023
42409,1023
42509,1023
42609,1023
42709,1023
42809,1023
42909,1023
43009,1023
43109,1023
43209,1023
43309,1023
43409,1023
43509,1023
43609,1023
43709,1023
43809,1023
43909,1023
44009,1023
44109,1023
44209,1023
44309,1023
44409,1023
44509,1023
44609,1023
44709,1023
44809,1023
44909,1023
45009,1023
45109,1023
45209,1023
45309,1023
45409,1023
45509,1023
45609,1023
45709,1023
45809,1023
45909,1023
46009,1023
46109,1023
46209,1023
46309,1023
46409,1023
46509,1023
46609,1023
46709,1023
46809,1023
46909,1023
47009,1023
47109,1023
47209,1023
47309,1023
47409,1023
47509,1023
47609,1023
47709,1023
47809,1023
47909,1023
48009,1023
48109,1023
48209,1023
48309,1023
48409,1023
48509,1023
48609,1023
48709,1023
48809,1023
48909,1023
49009,1023
49109,1023
49209,1023
49309,1023
49409,1023
49509,1023
49609,1023
49709,1023
49809,1018
49909,1018
50009,1017
50109,1019
50209,1018
50309,1017
50409,1018
50509,1016
50609,1019
50709,1017
50809,1016
50909,1017
51009,1016
51109,1016
51209,1017
51309,1016
51409,1016
51509,1015
51609,1016
51709,1016
51809,1016
51909,1016
52009,1016
52109,1016
52209,1016
52309,1015
52409,1015
52509,1015
52609,1016
52709,1015
52809,1015
52909,1016
53009,1014
53109,1016
53209,1014
53309,1014
53409,1015
53509,1014
53609,1014
53709,1015
53809,1014
53909,1015
54009,1015
54109,1015
54209,1015
54309,1014
54409,1015
54509,1015
54609,1014
54709,1014
54809,1014
54909,1014
55009,1013
55109,1014
55209,1014
55309,1013
55409,1014
55509,1014
55609,1014
55709,1014
55809,1014
55909,1014
56009,1013
56109,1014
56209,1013
56309,1013
56409,1013
56509,1013
56609,1014
56709,1014
56809,1013
56909,1013
57009,1013
57109,1012
57209,1013
57309,1012
57409,1013
57509,1012
57609,1013
57709,1012
57809,1013
57909,1013
58009,1012
58109,1013
58209,1013
58309,1013
58409,1013
58509,1013
58609,1014
58709,1013
58809,1012
58909,1013
59009,1013
59109,1013
59209,1013
59309,1012
59409,1012
59509,1012
59609,1013
59709,1012
59809,1013
59909,1012
60009,1012
60109,1012
60209,1012
60309,1012
60409,1012
60509,1012
60609,1011
60709,1012
60809,1012
60909,1012
61009,1011
61109,1012
61209,1011
61309,1012
61409,1011
61509,1012
61609,1011
61709,1011
61809,1011
61909,1011
62009,1011
62109,1012
62209,1011
62309,1011
62409,1012
62509,1011
62609,1011
62709,1012
62809,1011
62909,1011
63009,1011
63109,1011
63209,1010
63309,1011
63409,1009
63509,1011
63609,1010
63709,1011
63809,1011
63909,1011
64009,1011
64109,1011
64209,1010
64309,1010
64409,1011
64509,1010
64609,1011
64709,1010
64809,1011
64909,1011
65009,1010
65109,1010
65209,1010
65309,1010
65409,1011
65509,1010
65609,1010
65709,1010
65809,1010
65909,1011
66009,1011
66109,1010
66209,1010
66309,1011
66409,1010
66509,1010
66609,1011
66709,1010
66809,1009
66909,1011
67009,1011
67109,1009
67209,1010
67309,1009
67409,1010
67509,1010
67609,1010
67709,1010
67809,1010
67909,1011
68009,1010
68109,1010
68209,1010
68309,1010
68409,1009
68509,1010
68609,1010
68709,1010
68809,1010
68909,1010
69009,1010
69109,1010
69209,1010
69309,1009
69409,1010
69509,1010
69609,1011
69709,1010
69809,1009
69909,1009
70009,1010
70109,1009
70209,1010
70309,1009
70409,1009
70509,1009
70609,1010
70709,1009
70809,1009
70909,1010
71009,1009
71109,1010
71209,1009
71309,1009
71409,1009
71509,1009
71609,1009
71709,1009
71809,1010
71909,1009
72009,1008
72109,1009
72209,1009
72309,1009
72409,1009
72509,1009
72609,1010
72709,1008
72809,1009
72909,1008
73009,1008
73109,1010
73209,1008
73309,1009
73409,1009
73509,1009
73609,1009
73709,1009
73809,1008
73909,1009
74009,1008
74109,1009
74209,1009
74309,1009
74409,1009
74509,1010
74609,1008
74709,1008
74809,1008
74909,1009
75009,1009
75109,1008
75209,1008
75309,1009
75409,1009
75509,1008
75609,1008
75709,1008
75809,1009
75909,1008
76009,1008
76109,1009
76209,1009
76309,1009
76409,1008
76509,1008
76609,1008
76709,1009
76809,1008
76909,1008
77009,1008
77109,1008
77209,1009
77309,1009
77409,1007
77509,1008
77609,1008
77709,1009
77809,1008
77909,1008
78009,1008
78109,1009
78209,1008
78309,1009
78409,1008
78509,1010
78609,1009
78709,1009
78809,1009
78909,1008
79009,1008
79109,1009
79209,1008
79309,1009
79409,1008
79509,1009
79609,1008
79709,1008
79809,1008
79909,1008
80009,1008
80109,1008
80209,1008
80309,1008
80409,1008
80509,1008
80609,1008
80709,1008
80809,1009
80909,1008
81009,1008
81109,1008
81209,1009
81309,1009
81409,1008
81509,1008
81609,1007
81709,1008
81809,1008
81909,1008
82009,1007
82109,1008
82209,1007
82309,1008
82409,1008
82509,1007
82609,1008
82709,1008
82809,1008
82909,1009
83009,1008
83109,1008
83209,1007
83309,1008
83409,1007
83509,1008
83609,1008
83709,1007
83809,1008
83909,1008
84009,1007
84109,1008
84209,1007
84309,1008
84409,1008
84509,1007
84609,1008
84709,1008
84809,1008
84909,1009
85009,1008
85109,1007
85209,1007
85309,1008
85409,1008
85509,1008
85609,1008
85709,1007
85809,1009
85909,1009
86009,1008
86109,1008
86209,1009
86309,1009
86409,1008
86509,1008
86609,1007
86709,1008
86809,1008
86909,1008
87009,1008
87109,1008
87209,1008
87309,1008
87409,1008
87509,1008
87609,1007
87709,1007
87809,1007
87909,1008
88009,1006
88109,1008
88209,1007
88309,1007
88409,1007
88509,1007
88609,1008
88709,1008
88809,1007
88909,1007
89009,1007
89109,1007
89209,1007
89309,1008
89409,1007
89509,1008
89609,1008
89709,1008
89809,1007
89909,1008
90009,1008
90109,1007
90209,1007
90309,1008
90409,1008
90509,1008
90609,1007
90709,1007
90809,1007
90909,1008
91009,1007
91109,1006
91209,1007
91309,1007
91409,1006
91509,1007
91609,1007
91709,1007
91809,1007
91909,1007
92009,1008
92109,1007
92209,1008
92309,1008
92409,1008
92509,1007
92609,1008
92709,1008
92809,1008
92909,1007
93009,1008
93109,1008
93209,1008
93309,1007
93409,1008
93509,1007
93609,1007
93709,1007
93809,1007
93909,1007
94009,1008
94109,1008
94209,1008
94309,1007
94409,1007
94509,1007
94609,1007
94709,1007
94809,1008
94909,1008
95009,1006
95109,1008
95209,1007
95309,1007
95409,1008
95509,1008
95609,1007
95709,1007
95809,1006
95909,1007
96009,1007
96109,1007
96209,1007
96309,1007
96409,1007
96509,1007
96609,1007
96709,1007
96809,1006
96909,1007
97009,1007
97109,1007
97209,1007
97309,1007
97409,1007
97509,1006
97609,1007
97709,1006
97809,1007
97909,1007
98009,1008
98109,1007
98209,1007
98309,1007
98409,1006
98509,1007
98609,1007
98709,1007
98809,1007
98909,1007
99009,1008
99109,1007
99209,1007
99309,1007
99409,1007
99509,1007
99609,1007
99709,1007
99809,1007
99909,1005
100009,1008
100109,1006
100209,1007
100309,1006
100409,1007
100509,1007
100609,1007
100709,1007
100809,1006
100909,1007
101009,1007
101109,1007
101209,1007
101309,1007
101409,1007
101509,1007
101609,1006
101709,1007
101809,1006
101909,1007
102009,1007
102109,1007
102209,1007
102309,1007
102409,1007
102509,1006
102609,1007
102709,1007
102809,1006
102909,1007
103009,1007
103109,1006
103209,1007
103309,1006
103409,1007
103509,1007
103609,1007
103709,1007
103809,1006
103909,1008
104009,1008
104109,1006
104209,1006
104309,1007
104409,1007
104509,1006
104609,1007
104709,1006
104809,1007
104909,1006
105009,1006
105109,1006
105209,1007
105309,1006
105409,1006
105509,1007
105609,1007
105709,1007
105809,1006
105909,1006
106009,1007
106109,1007
106209,1007
106309,1007
106409,1006
106509,1006
106609,1007
106709,1007
106809,1007
106909,1006
107009,1007
107109,1007
107209,1007
107309,1007
107409,1006
107509,1007
107609,1007
107709,1007
107809,1006
107909,1007
108009,1007
108109,1006
108209,1006
108309,1006
108409,1006
108509,1006
108609,1006
108709,1006
108809,1007
108909,1007
109009,1007
109109,1007
109209,1007
109309,1007
109409,1006
109509,1007
109609,1006
109709,1006
109809,1006
109909,1007
110009,1006
110109,1006
110209,1006
110309,1006
110409,1006
110509,1007
110609,1007
110709,1006
110809,1006
110909,1007
111009,1007
111109,1007
111209,1006
111309,1006
111409,1006
111509,1006
111609,1006
111709,1005
111809,1006
111909,1007
112009,1006
112109,1007
112209,1007
112309,1006
112409,1006
112509,1006
112609,1005
112709,1006
112809,1007
112909,1006
113009,1005
113109,1006
113209,1006
113309,1007
113409,1006
113509,1006
113609,1006
113709,1005
113809,1006
113909,1006
114009,1006
114109,1006
114209,1006
114309,1007
114409,1007
114509,1006
114609,1006
114709,1005
114809,1007
114909,1007
115009,1006
115109,1005
115209,1006
115309,1007
115409,1007
115509,1006
115609,1006
115709,1006
115809,1007
115909,1006
116009,1005
116109,1007
116209,1006
116309,1006
116409,1006
116509,1006
116609,1006
116709,1006
116809,1006
116909,1004
117009,1006
117109,1006
117209,1006
117309,1007
117409,1005
117509,1006
117609,1006
117709,1006
117809,1006
117909,1006
118009,1006
118109,1006
118209,1006
118309,1006
118409,1006
118509,1006
118609,1006
118709,1007
118809,1005
118909,1005
119009,1006
119109,1006
119209,1006
119309,1007
119409,1007
119509,1005
119609,1006
119709,1005
119809,1006
119909,1006
120009,1006
120109,1006
120209,1006
120309,1006
120409,1006
120509,1006
120609,1006
120709,1006
120809,1005
120909,1006
121009,1006
121109,1006
121209,1006
121309,1006
121409,1006
121509,1006
121609,1006
121709,1006
121809,1006
121909,1006
122009,1006
122109,1006
122209,1005
122309,1008
122409,1006
122509,1006
122609,1006
122709,1006
122809,1007
122909,1005
123009,1006
123109,1006
123209,1005
123309,1005
123409,1006
123509,1006
123609,1007
123709,1006
123809,1006
123909,1006
124009,1006
124109,1005
124209,1005
124309,1006
124409,1007
124509,1006
124609,1006
124709,1006
124809,1006
124909,1006
125009,1006
125109,1006
125209,1006
125309,1007
125409,1005
125509,1006
125609,1007
125709,1006
125809,1006
125909,1005
126009,1006
126109,1007
126209,1006
126309,1006
126409,1005
126509,1006
126609,1006
126709,1006
126809,1006
126909,1006
127009,1006
127109,1006
127209,1006
127309,1006
127409,1006
127509,1005
127609,1005
127709,1006
127809,1006
127909,1005
128009,1005
128109,1007
128209,1006
128309,1006
128409,1006
128509,1006
128609,1006
128709,1006
128809,1004
128909,1006
129009,1005
129109,1006
129209,1006
129309,1007
129409,1006
129509,1005
129609,1006
129709,1005
129809,1006
129909,1006
130009,1006
130109,1006
130209,1005
130309,1006
130409,1006
130509,1006
130609,1006
130709,1006
130809,1005
130909,1006
131009,1005
131109,1005
131209,1006
131309,1006
131409,1006
131509,1006
131609,1006
131709,1005
131809,1006
131909,1005
132009,1005
132109,1006
132209,1005
132309,1005
132409,1005
132509,1005
132609,1006
132709,1006
132809,1006
132909,1005
133009,1005
133109,1005
133209,1006
133309,1006
133409,1006
133509,1006
133609,1005
133709,1006
133809,1006
133909,1004
134009,1005
134109,1005
134209,1005
134309,1006
134409,1005
134509,1005
134609,1006
134709,1005
134809,1006
134909,1005
135009,1005
135109,1005
135209,1005
135309,1006
135409,1006
135509,1005
135609,1005
135709,1005
135809,1005
135909,1005
136009,1006
136109,1005
136209,1006
136309,1006
136409,1006
136509,1007
136609,1005
136709,1005
136809,1005
136909,1005
137009,1006
137109,1005
137209,1005
137309,1005
137409,1006
137509,1005
137609,1006
137709,1006
137809,1006
137909,1005
138009,1004
138109,1005
138209,1006
138309,1006
138409,1006
138509,1005
138609,1005
138709,1006
138809,1006
138909,1006
139009,1006
139109,1005
139209,1005
139309,1005
139409,1005
139509,1005
139609,1006
139709,1006
139809,1006
139909,1006
140009,1005
140109,1006
140209,1006
140309,1006
140409,1006
140509,1006
140609,1006
140709,1006
140809,1006
140909,1005
141009,1005
141109,1007
141209,1005
141309,1005
141409,1005
141509,1005
141609,1005
141709,1005
141809,1006
141909,1006
142009,1005
142109,1006
142209,1005
142309,1006
142409,1006
142509,1005
142609,1006
142709,1005
142809,1005
142909,1005
143009,1005
143109,1005
143209,1006
143309,1006
143409,1006
143509,1005
143609,1005
143709,1005
143809,1006
143909,1007
144009,1005
144109,1005
144209,1005
144309,1006
144409,1004
144509,1006
144609,1004
144709,1005
144809,1005
144909,1006
145009,1005
145109,1006
145209,1005
145309,1006
145409,1005
145509,1005
145609,1005
145709,1005
145809,1005
145909,1004
146009,1005
146109,1005
146209,1006
146309,1004
146409,1006
146509,1006
146609,1006
146709,1005
146809,1005
146909,1005
147009,1005
147109,1005
147209,1005
147309,1005
147409,1006
147509,1006
147609,1005
147709,1005
147809,1006
147909,1006
148009,1005
148109,1006
148209,1005
148309,1005
148409,1005
148509,1006
148609,1006
148709,1004
148809,1004
148909,1005
149009,1004
149109,1004
149209,1006
149309,1005
149409,1005
149509,1006
149609,1005
149709,1006
149809,1005
149909,1005
150009,1006
150109,1006
150209,1005
150309,1004
150409,1005
150509,1004
150609,1005
150709,1005
150809,1005
150909,1006
151009,1005
151109,1006
151209,1005
151309,1005
151409,1005
151509,1005
151609,1005
151709,1005
